country;education_expenditure;youth_unemployment_rate;net_migration_rate;iso_code;region;income_group;lending_category;name;alpha.2;alpha.3;country.code;iso_3166.2;continent;sub.region;intermediate.region;region.code;sub.region.code;intermediate.region.code
210;.;.;Virgin;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
211;.;.;Saint;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
212;.;.;Sao;.;.;.;.;Dominica;DM;DMA;212;ISO 3166-2:DM;Americas;Latin America and the Caribbean;Caribbean;19;419;29
213;.;.;Samoa;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
214;.;.;Moldova;.;.;.;.;Dominican Republic;DO;DOM;214;ISO 3166-2:DO;Americas;Latin America and the Caribbean;Caribbean;19;419;29
215;.;.;Jamaica;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
216;.;.;Guam;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
217;.;.;Jordan;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
218;.;.;Nauru;.;.;.;.;Ecuador;EC;ECU;218;ISO 3166-2:EC;Americas;Latin America and the Caribbean;South America;19;419;5
219;.;.;Eritrea;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
220;.;.;Maldives;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
221;.;.;Puerto;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
